Site,COND,ECLOI,ENT,FC,Filtered_Total_Phosphorus,SAL,TEMP,WQ_CAR_PH,WQ_DIAG_PHY_TCHLA,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TURBIDITY,WQ_NIT_AMM,WQ_NIT_NIT,WQ_OGM_DOC,WQ_OXY_OXY,WQ_PHS_FRP,
S37,x,x,x,x, ,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,
S41,x,x,x,x, ,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,
S48,x,x,x,x, ,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,
S60,x,x,x,x, ,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,
S61,x,x,x,x, ,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,
S67,x,x,x,x, ,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,
S68,x,x,x,x, ,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,
S69,x,x,x,x, ,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,
S90,x,x,x,x, ,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,
S97,x,x,x,x, ,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,
S100,x,x,x,x, ,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,
S118,x,x,x,x, ,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,
S151,x,x,x,x, ,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,
S210,x,x,x,x, ,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,
S11,x, ,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x,x,x,x,
S13,x, ,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x,x,x,x,
